id,Text,Polarity,reply
9534,প্যালেস্টাইনের জয় হোক ।,0,
9536,ওদের আসতে হবে কেন?,0,
9537,এনড্রয়েড ফোন আর বাটন ফোন যখন পাশাপাশি রাখা হয় ।,0,
9538,আসল কারণ হচ্ছে আমরা বাঙ্গালিরা ভালো কে ভাল বলিনা তাই আমাদের দেশে ওর মত কেউ গড়ে উঠতেছেনা,0,
9539,জাজাকাল্লাহ মুহতারাম জবান চলুক কলম চলুক দুটোই চলুক সমান তালে ।,0,
9541,লঞ্চ চালুর ব্যবস্থা হোক ।,0,
9542,স্কুল কলেজ খোলা শুরু হয়ে যাবে ।,0,
9543,কেন মুছলেন ? কারণ জানতে পারি কি ?,0,
9545,আরো একটা শিক্ষাসফর,0,
9547,প্রিয় নেতা বলতে পারবেন কি ? লকডাউন দিয়ে মানুষের দুরপাল্লা গমন প্রতিরোধ করতে পেরেছেন ?,0,
9548,সংক্রমণের ঠেকানোর দায়িত্ব নিয়েছিলো লকডাউন,0,
9549,টেস্ট ম্যাচে প্রয়োজন অভিজ্ঞ খেলোয়ার যারা অভিজ্ঞ তাদের সুযোগ দেয়া হয়না জিতবে কি ভাবে,0,
9550,বিদেশের পিচে টেস্টে একটা ম্যাচ জেতার যোগ্যতা এখনও আমাদের হয়নি৷ এর জন্য দরকার মানসম্মত বোলার৷ সাথে সবার মনোবল৷ আর ব্যাটসম্যানদের ধৈর্য্য । ওয়েস্ট ইন্ডিজ কিন্তু আনকোরা দল নিয়ে টেস্ট ভালো খেলছে আর আমার জন্মাবধি শুনছি আমাদের ক্রিকেট শিখছে ।,0,
9551,মোস্তাফিজুর নুর ইমরান দক্ষিণী সিনেমার তরুণ অভিনেতার মতো ভবিষ্যতে ঢালিউডের খল অভিনেতা হিসেবে আবির্ভুত হতে পারে ।,0,
9553,মজার ব্যাপার হচ্ছে আইন্সটাইন দিয়েই তার পরিচিতি !,0,
9558,প্রথমত জানবেন এরপর ব্যবহার করবেন,0,
9732,অনেক বড় হও মা মনি,0,
9733,সবাই কোলকাতার পেইজে গিয়ে সাকিব কে তিন এ ব্যাটিং চাই ক্যাপ্টেন চাই লিখে কমেন্ট করুন । আপনাদের উপর নির্ভর করছে সাকিব ভাইয়ে ভবিষ্যৎ । কমেন্ট করে ভাইকে জিতান ।,0,
9736,অসভ্য এক সরকার ক্ষমতায় থেকে দেশের মানুষকে বিপদে ফেলে দিল ।,0,
9738,রোদ্দুরদার গান শুনে পি এল কেটে যাচ্ছে,0,
9739,এলাকাতে নাকি আসবেন । আসলে জানাইবেন কিন্তু । আপনার সাথে খেলা হবে ।,0,
9745,এই সেরা জুটিটা কে তোরা তো সেরা পরিবারের জুটির পুরষ্কার দিলি না । এত্ত হিংসুটে কেন তোরা । টাকা খেয়েছিলি তাই না । ফালতু চ্যানেল ব্যবস্থা ফালতু পুরষ্কার কমিটি সব টাকা খোর ।,0,
9746,নতুন মা মানি এরকম মা আর দুনিয়াতে নাই,0,
9747,বিড়ালের গলায় ঘন্টা বাঁধবে কে ।,0,
9748,যারা মারা গিয়েছে তাদের চিন্তা রেখে আর নতুন মৃত্যু এবং আক্রান্ত হওয়ার হার কমাবার কোন বিকল্প নেই?,0,
9749,ইস্রাঈল যেমন মুসলমানদের শত্রু তেমনি ভারত বাংলাদেশের চির শত্রু ।,0,
9750,ইউএনও যে কাজ টা করেছিল সেটা ঠিক ছিল আসলে অনেকে এমন করে নিজের থেকেও সাহায্য নেয়,0,
